endTime,artistName,trackName,msPlayed
2021-09-10 02:22,Arijit Singh,Tujhe Kitna Chahne Lage,27651
2021-09-10 02:25,The Chainsmokers,You Owe Me,190013
2021-09-10 02:28,FINNEAS,I Lost a Friend,161190
2021-09-10 02:30,Labrinth,Mount Everest,157497
2021-09-10 02:31,Avicii,Fades Away (feat. Noonie Bao),7562
2021-09-11 03:54,Avicii,Fades Away (feat. Noonie Bao),41534
2021-09-11 07:18,The Lumineers,Gun Song,216546
2021-09-11 07:23,Hozier,Like Real People Do,303313
2021-09-11 07:27,The Lumineers,Sleep On The Floor,211851
2021-09-11 07:29,The Lumineers,Sleep On The Floor,1190
2021-09-11 07:29,The Lumineers,In The Light,46874
2021-09-11 07:32,Hozier,Like Real People Do,198029
2021-09-11 07:36,Passenger,Holes,213173
2021-09-11 07:39,The Lumineers,Sleep On The Floor,211851
2021-09-11 07:43,The Lumineers,In The Light,231867
2021-09-11 07:48,Jack Johnson,"Fragments - From The Film ""The Smog Of The Sea""",221306
2021-09-11 07:51,Vance Joy,Mess Is Mine,223640
2021-09-11 07:56,Hozier,"Wasteland, Baby!",266466
2021-09-11 08:00,Margot & The Nuclear So And So's,Broadripple Is Burning,273173
2021-09-11 08:05,The Lumineers,Everyone Requires A Plan,5510
2021-09-11 08:05,The Avett Brothers,If It's The Beaches,165930
2021-09-11 08:09,The Avett Brothers,If It's The Beaches,237120
2021-09-11 08:12,Passenger,Holes,213173
2021-09-11 08:15,Hozier,Like Real People Do,198029
2021-09-11 08:20,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-11 08:25,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",266005
2021-09-11 08:32,Jasraj Joshi,Shiv Tandav Stotra,423471
2021-09-11 08:37,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-09-11 08:41,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2021-09-11 08:43,Petit Biscuit,Sunset Lover,151148
2021-09-11 15:37,Petit Biscuit,Sunset Lover,8340
2021-09-11 15:41,The Avett Brothers,If It's The Beaches,234400
2021-09-11 15:46,Passenger,Holes,213173
2021-09-11 15:48,Hozier,Like Real People Do,167857
2021-09-11 15:52,Jack Johnson,"Fragments - From The Film ""The Smog Of The Sea""",221306
2021-09-11 15:55,Vance Joy,Mess Is Mine,195823
2021-09-11 16:13,Vance Joy,Mess Is Mine,27809
2021-09-11 16:18,Hozier,"Wasteland, Baby!",266466
2021-09-11 16:23,Margot & The Nuclear So And So's,Broadripple Is Burning,273173
2021-09-11 16:24,The Avett Brothers,If It's The Beaches,93263
2021-09-11 16:27,The Lumineers,Everyone Requires A Plan,160560
2021-09-11 16:32,Hozier,Almost (Sweet Music),217480
2021-09-11 16:36,The Paper Kites,Bloom (Online Bonus Track),209816
2021-09-11 16:39,The Lumineers,White Lie,195082
2021-09-11 16:43,Of Monsters and Men,Love Love Love,238786
2021-09-11 16:49,Lord Huron,Ends of the Earth,284146
2021-09-11 16:51,The Strumbellas,In This Life,142091
2021-09-11 16:52,KALEO,All the Pretty Girls - Recorded at Spotify Studios NYC,55850
2021-09-11 16:55,Young the Giant,Something to Believe In - Live Acoustic,173258
2021-09-11 17:00,Hozier,Shrike,276671
2021-09-11 17:04,Caamp,See the World,138451
2021-09-11 17:44,The Lumineers,Life In The City,191194
2021-09-12 11:07,The Local Train,Choo Lo,13360
2021-09-12 11:07,The Lumineers,Life In The City,12340
2021-09-12 11:07,Dino James,Hancock,2030
2021-09-12 11:11,The Lumineers,Life In The City,231360
2021-09-12 11:14,The Strumbellas,In This Life,163893
2021-09-12 11:19,Hozier,Almost (Sweet Music),217480
2021-09-12 11:23,Margot & The Nuclear So And So's,Broadripple Is Burning,273173
2021-09-12 11:27,Vance Joy,Mess Is Mine,223640
2021-09-12 11:31,The Avett Brothers,If It's The Beaches,237120
2021-09-12 11:36,Passenger,Holes,213173
2021-09-12 11:38,Hozier,Like Real People Do,129144
