,artist,track,acousticness,energy,popularity,favorite,prediction
118871,EZ El Ezeta,Buena Buena,0.236,0.6859999999999999,54,0,1
118942,Silk City,Electricity - Acoustic,0.649,0.39,64,0,1
118949,Villagers,A Trick of the Light,0.513,0.606,63,0,1
119120,The 1975,TOOTIMETOOTIMETOOTIME,0.209,0.7979999999999999,76,0,1
119122,NOTD,I Wanna Know (feat. Bea Miller),0.0253,0.725,79,0,1
119136,Jaden Smith,SOHO,0.342,0.596,71,0,1
119152,Bad Bunny,Dime Si Te Acuerdas,0.488,0.598,71,0,1
119180,Mumford & Sons,Forever,0.386,0.371,60,0,1
119196,BTS,Trivia 起 : Just Dance,0.0907,0.906,71,0,1
119212,Anitta,Veneno,0.046,0.768,77,0,1
119222,CNCO,Se Vuelve Loca,0.0196,0.78,74,0,1
119316,Jorja Smith,February 3rd,0.4529999999999999,0.4529999999999999,68,0,1
119342,SAINt JHN,Reflex,0.134,0.497,66,0,1
119372,Lewis Capaldi,Rush (feat. Jessie Reyez),0.541,0.624,73,0,1
119377,Derez De’Shon,Hardaway,0.118,0.518,58,0,1
119398,Mr. Probz,Space For Two,0.466,0.6,72,0,1
119489,Axwell /\ Ingrosso,Dancing Alone,0.0853,0.94,72,0,1
119597,Noah Cyrus,Punches (with LP),0.416,0.499,67,0,1
120438,Beret,Te echo de menos,0.206,0.7140000000000001,72,0,1
120564,Jay Chou,等你下課,0.477,0.465,65,0,1
120762,Ariana Grande,no tears left to cry,0.04,0.713,89,0,1
120765,Juice WRLD,Used To,0.1,0.691,73,0,1
120767,Post Malone,Ball For Me (feat. Nicki Minaj),0.493,0.56,81,0,1
120781,Post Malone,Over Now,0.131,0.7609999999999999,79,0,1
120784,Eminem,Greatest,0.0441,0.737,77,0,1
120787,ScHoolboy Q,X (with 2 Chainz & Saudi),0.0201,0.471,77,0,1
120788,Camila Cabello,Never Be the Same,0.181,0.713,80,0,1
120792,Dominic Fike,3 Nights,0.223,0.518,85,0,1
120794,Lil Peep,Life is Beautiful,0.0385,0.638,76,0,1
120795,A$AP Rocky,Sundress,0.176,0.7040000000000001,77,0,1
120801,Daniel Caesar,Who Hurt You?,0.586,0.493,78,0,1
120805,NOTD,So Close,0.121,0.872,84,0,1
